FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
48031,0.10444838172285646,0.03169065412386663,0.8888888888888888,0.15593,0.03227,0.1476,0.0544599999999999,0.07797,0.08563,0.22027,0.0113999999999999,0.0971501050926166,0.1068917085,0.8094857364470154,0.3532608695652174,0.7966227246384798
48047,0.014430496821390566,0.04539314486739682,0.7777777777777778,0.11532,0.08649,0.15927,0.35965,0.0,0.37918,0.12,0.01121,0.1367146174840862,0.1445745303,0.90123976116194,0.4293478260869565,0.8807670614276035
48053,0.1174330430519108,0.027988066199551024,0.6666666666666666,0.1587599999999999,0.03469,0.14049,0.08363,0.13567,0.12104,0.20936,0.01413,0.1233833466297123,0.109676338,0.801995548321232,0.3641304347826086,0.7392790990639623
48063,0.03293663396125496,0.02844481589100203,0.6666666666666666,0.2025,0.05892,0.1262299999999999,0.19949,0.13483,0.18207,0.25843,0.0243,0.2012155461582907,0.1229512211,0.7524871465805054,0.3804347826086957,0.7225130180880643
48069,0.3240816576684998,0.038192048668137336,0.6666666666666666,0.12602,0.15346,0.16598,0.13626,0.05882,0.13075,0.04902,0.00592,0.0807141961384852,0.1219306057,0.6674632205211986,0.2391304347826087,0.5878210494552685
48079,0.3235328530596554,0.03743403854189949,1.0,0.08776,0.11398,0.11728,0.14357,0.17647,0.21951,0.11765,0.01004,0.1203077787525043,0.1284402891,0.6484402139248766,0.2282608695652174,0.6342142781468174
48095,0.1647778873529789,0.02099104964966327,0.8888888888888888,0.16959,0.25372,0.11343,0.04582,0.0,0.07191,0.0,0.00916,0.0476987307983105,0.0990980155,0.8297818381828894,0.2771739130434782,0.7247261616831678
48099,0.07865456510717012,0.018027035694502484,0.2222222222222222,0.06337,0.0278,0.15943,0.12109,0.0584999999999999,0.1356,0.29209,0.0115199999999999,0.0995933228167902,0.1133342795,0.7870232095393048,0.3695652173913044,0.7460388731129369
48103,0.21320641182074984,0.02804637467080009,0.6666666666666666,0.17636,0.08721,0.11432,0.06048,0.0,0.05074,0.2389399999999999,0.0,0.0872683503271376,0.0985902216,0.7738008575399677,0.2717391304347826,0.706144447297333
48115,0.2540965338949527,0.027832576942886853,0.7777777777777778,0.0754,0.03911,0.1237299999999999,0.14854,0.0156299999999999,0.21234,0.40104,0.02383,0.1796019889151416,0.113540344,0.7138268920969388,0.2826086956521739,0.706144447297333
